summary,sentiment,keywords
" Evercore's Mark Mahaney reiterated a Buy rating with a $1,150 price target following Netflix's annual Upfront Presentation . BMO Capital's Brian Pitz also stuck with Buy and a Buy target, citing positive second-half 2025 monetization tailwinds from the upcoming Ad Suite launch in EMEA and a planned 2026 rollout of AI-powered ad formats .  The FT-reported upgrades reflect growing confidence that Netflix can parlay ad traction into material revenue . Analyst commentary underscored that with advertising now accounting for a growing share of overall ARPU, Netflix may unlock a multi-year ad-revenue catalyst .",positive,"advertising, ad, evercore, buy, netflix"
" Strauss Zelnick is Executive Chairman of the Board, Chief Executive Officer . Karl Slatoff is President of the Take-Two Interactive Software Inc . Lainie Goldstein is Chief Financial Officer . Eric Handler is an analyst at ROTH Capital .  Take-Two Interactive fourth quarter 2025 earnings call . Strauss Zelnick, Karl Slatoff, our President; and Lainie Goldstein, our Chief Financial Officer. We will be available to answer your questions during the Q&A session following our prepared remarks.  All numbers we will be discussing today are GAAP and all comparisons are year-over-year . Actual operating results may vary significantly from these forward-looking statements based on a variety of factors .  Strauss Zelnick: We concluded our 2025 fiscal year with outstanding results . 4th quarter net bookings of $1.58 billion, which was the top of our guidance range . Each of our labels contributed meaningfully to our performance .  Rockstar expects to release Grand Theft Auto VI on May 26, 2026, which is in our fiscal year 2027 . The title is now the most anticipated entertainment property of all time .  The ambition and complexity of Grand Theft Auto VI is greater than any previous Rockstar title and the team is poised to release another astonishing entertainment experience that will exceed players' expectations . We're also pleased with the performance of our brand extensions for the franchise .  NBA 2K Online in China continues to hold its place as the number one PC sports game in the country . WWE 2K25 was met with great critical acclaim, including a score of 84 on Metacritic for Xbox Series X, an all-time high for the series .  WWE 2K25 has been integrated regularly into WWE's televised programming and was also a cosponsor of last month's spectacular WrestleMania 41 . The game earned a Metacritic score of 80 on PlayStation 5 and is generating significant recurrent consumer spending growth .  GTA V has sold in over 215 million units for current consumer spending outperform our forecast growing 5% year-over-year . Red Dead Redemption 2 also outperformed, with net bookings growing 23% over last year .  Peak delivered fantastic results, matter of fact exceeded our expectations . Rollic's newest hit Color Block Jam is scaling rapidly and is currently a top 10 downloaded game and among the top grossing titles in the US Apple app store .  Zynga has numerous titles in development and soft launch that we're eager to bring to market worldwide . Direct-to-consumer business delivered record performance as our teams continue to launch new offers events and enhanced personalization .  As we bring our exciting lineup to market, including Grand Theft Auto VI in fiscal 2027, we expect to achieve record levels of net bookings that will establish a new baseline for our business . We are extremely optimistic about our upcoming pipeline, which includes approximately 38 titles through fiscal 2028 .  Preorders are off to a strong start following the debut of the first official gameplay trailer at PAX East last week . This includes Mafia, the Old Country which 2K and Hangar 13 will introduce on August 8, this linear narrative-driven game is a premium experience in the vein of early Mafia titles set against the stunning, authentic background of 1900 Sicily .  Looking ahead, we currently expect to deliver 25 titles throughout fiscal 2027 and 2028, including 17 immersive core releases, including Grand Theft Auto VI and five sports simulation games, four mobile games and four new iterations of previously released titles .  We delivered an outstanding finish to fiscal 2025 with broad-based strength across our company . Throughout the year, we positioned our business for sustainable long-term growth . We are setting our business up for a strong multiyear period of growth and enhanced profitability .  GAAP net revenue increased 13% to $1.58 billion . Recurrent consumer spending growth was phenomenal, increasing 14% over last year . NBA 2K grew over 40% of Grand Theft Auto Online and mobile both increased mid-single digits .  For fiscal 2025, we achieved net bookings of $5.65 billion . Recurrent consumer spending exceeded our outlook, growing 7% . NBA 2K grew high teens, mobile increased mid-single digits and Grand Theft Auto Online declined modestly .  We project net bookings to range from $5.9 billion to $6 billion, which represents 5% growth over fiscal 2025 at the midpoint . Largest contributors are expected to be NBA 2K, the Grand Theft Auto series, Toon Blast, Borderlands 4, Match Factory! Empires & Puzzles, Words with Friends, Red Dead Redemption Series and Zynga Poker .  NBA 2K, the Grand Theft Auto series, Toon Blast, Color Block Jam, Match Factory!, Empires & Puzzles, Words with Friends, Red Dead Redemption Series and Zynga Poker are expected to be the largest contributor to net bookings .  We expect GAAP net revenue to range from $1.35 billion to .1.4 billion . We expect strong double-digit growth for NBA 2K, flat results from mobile and a modest decline Grand Theft Auto Online . Operating expenses are expected to grow by approximately 2% year-over-year .  Strauss Zelnick: On behalf of our entire management team, I'd like to thank our colleagues for delivering another outstanding year . For our shareholders, I want to express our appreciation for your continued support. this will be an exciting period for our many stakeholders, from our colleagues, to our players, industry partners and shareholders.  Strauss Zelnick: We've always had variable pricing. We aim to make the best entertainment on earth and bring that to all consumers wherever they are . And I think our view is that if you create a huge hit and everyone wants it and everyone buys it, the revenue will take care of itself .  The impairment was from, but it was a partial impairment of one of our units and it's a result of updating long-term expectations, and that's something that we acquired to test annually or whenever the indicators of the environment arise . Doug Creutz, TD Cowen. Sorry about that, I fat fingered my first attempt .  There's no reason why we wouldn't be able to reach those margins again? Lainie Goldstein . We've been doing a lot of structural things within the business to offset those costs . You'll see that in our expenses being reduced this year and seeing those margins coming down .  The mobile gaming segment is a challenging one broadly, creating new mobile hits is incredibly difficult . Zynga is the only company in the space that is regularly creating new native mobile hits, most recently with Match Factory! and Color Block Jam .  Strauss Zelnick: ""The further away we are from the results, the harder it is to predict because things can change. However, in terms of our -- both our hopes and our expectations, we're more optimistic than we were before""  Strauss Zelnick: ""We just, in the normal course, would not typically guide to those numbers this far in advance. We have said that we expect sequential growth for both fiscal '26 and '27. And the guidance we just gave, of course, still reflects meaningful year-over-year top line growth and reflects a new record for net bookings""  In aggregate, GTA Online and Red Dead Online were down a bit in the full fiscal year . The trailer did set a record for views in its first 24 hours, 475 million . Rockstar Games broke the Internet .  We're launching four titles with Nintendo Switch 2, and that's, I think, a bigger array of releases than we've ever offered before with the new Nintendo platform . Historically being a third party in the Nintendo business has been a bit challenging, but we're stepping up too because we have great optimism for the platform .  Strauss Zelnick: Color Block Jam was really a reflection of an evolution of strategy at Rollic . All of our studios work together, that's the whole point of being one company . They do coordinate the share best practices than Zynga itself .  NBA 2K's goal is to be the most creative, the most innovative company in the entertainment industry . We can promote inside our ecosystem on a much more efficient basis than someone could outside of an ecosystem like ours . We think that gives us an enormous competitive advantage .  Another really strong quarter for that franchise, it's second in a row . Karl Slatoff: ""I don't think there's anything specific that's been done in this quarter that would call out the performance of the NBA,"" he said .  Strauss Zelnick: The focus is always on engagement, and that's where the growth has really been is that year-over-year this game has -- engagement has gone up. which is very tough to do when you're on a 12-month cycle . And I said specifically in the quarter, MyTEAM is having a fantastic quarter, so that helps a lot as well .  Mobile has become a significant and indeed material part of our business . I've been saying for years that I expected the cost of third-party distribution to decline . I do think the recent court rulings reflect movement in that direction, it is early, but these are all positive signs for us .  Karl Slatoff: Our partnership with Netflix has been fantastic. We've only done a few titles at this point. We think that there's an opportunity, again, on a game-by-game basis for us to continue to bring titles to the Netflix. I'm not announcing anything at this time, but we do believe that they're a terrific partner. We are doing a BioShock movie with Netflix .  Mobile marketing expense will continue to be elevated . Lainie Goldstein: We expect operating expense growth of approximately 3% year-over-year . But we do expect to deliver operating expense leverage as net bookings growth of 6% is planned to outpace our operating expense expansion .  Lainie Goldstein: It's not a more narrow range than usual. I mean usually, for the full year, we gave a specific type of range on a quarter-by-quarter basis, but it's not different than it usually is .  Strauss Zelnick: Why do I think GTA VI is so widely anticipated? We all do. Grand Theft Auto V is in the standard bar, not just for our company but for the industry since it was launched, it's not only survived through three console generations, it survived .  Everyone anticipates the next generation of Grand Theft Auto, but there's nothing in between . The film is still fresh, it's still in market, so everyone anticipates next James Bond movie . But look, we're not in the business of claiming success until it happens .  Strauss Zelnick: Our guide is for the next 10 months essentially. That's the part of the fiscal year that hasn't elapsed yet . It's very difficult to predict where tariffs will land given how things have bumped around so far . We want to deliver more value to a consumer than whatever that consumer pays .  We feel reasonably confident that our guide wouldn't be meaningfully affected in less tariffs ran off in a very different direction than we currently expect . The $2 billion of development cost really is supporting our extremely robust release schedule that we talked about for the next few years .  Lainie Goldstein: Internal royalties, the breakdown is driven by the product mix . Martin Yang: I'm in a pretty noisy background. Can you talk about the internal royalties in the COGS breakdown?  This is a great time for our company and a really exciting and challenging time in our industry and in the entertainment industry broadly . Arrogance is the enemy of continued success. We aim to deliver and over deliver. We think that the release schedule that we have coming to market is second to none .  You may now disconnect from the conversation on this morning's call . The call off line will be recorded as part of our live webcast . We are happy to return to the page you came from .",neutral,"earnings, upcoming, grand, zelnick, profitability"
" The United States market has shown robust performance with a 4.5% rise over the last week and an 11% increase in the past year . In this favorable environment, identifying high growth tech stocks that align with these positive trends can be key to capitalizing on potential opportunities . We're going to check out a few of the best picks from our screener tool .  Alnylam Pharmaceuticals generates revenue primarily from the discovery, development, and commercialization of RNAi therapeutics, amounting to $2.35 billion . The company leverages ribonucleic acid interference technology as a core component of its business model . Company's commitment to innovation is underscored by its R&D expenses which are substantial .  Netflix's revenue is expected to surge by 10.2% annually, outpacing the U.S. market's 8.6% growth . Netflix's presentation at the Heart Failure 2025 Congress further solidifies its position as a pioneer in addressing rare diseases through advanced RNAi therapies .  Palo Alto Networks, Inc. offers cybersecurity solutions globally and has a market capitalization of approximately $126.39 billion . The company generates revenue primarily from its Security Software & Services segment, which accounts for $8.57 billion .  Palo Alto Networks has a 12.8% forecasted annual revenue increase and an impressive 17. 8% expected earnings growth per year . The company's commitment to R&D is evident from its significant investments aimed at advancing cybersecurity solutions across various platforms, ensuring it remains at the forefront of technological evolution and enterprise security .  Explore high-performing small cap companies that haven't yet garnered significant analyst attention . Fuel your portfolio with companies showing strong growth potential . Find companies with promising cash flow potential yet trading below their fair value .  Simply Wall St has no position in any stocks mentioned . Companies discussed in this article include NFLX, NFLX and PANW . Have feedback about the content? Get in touch with us directly .",neutral,"pharmaceuticals, revenue, companies, market, rnai"
" Shares in Coinbase (COIN) were down in pre-market trading, extending a 7% slide from the previous session . US cryptocurrency exchange revealed it had been the target of a cyberattack in which customer data was stolen and a $20m ransom demanded . The breach comes just days before the company is scheduled to join the S&P 500 index on 19 May .  Bitcoin firm's shares had rallied on Tuesday following announcement of its S&P 500 inclusion . But news of the cyberattack and a separate regulatory issue has tempered market enthusiasm .  Shares in Netflix rose in pre-market trading on Friday after the streaming giant said its advertising-supported tier had reached 94 million users, up from 70 million in November . With more than 300 million global subscribers, Netflix (NFLX) said spending across all tiers remains strong .  Mediterranean fast-casual chain Cava reported stronger-than-expected same-store sales and solid traffic growth in its latest fiscal quarter . Shares in Cava (CAVA) fell in early trading despite strong sales and revenue growth . Steve Weiss, chief investment officer and managing partner at Short Hills Capital Partners, has increased his holdings in Netflix .  Cava (CAVA) posted nearly 11% same-restaurant sales growth, underlining demand across its footprint . However, the company reported a slight decline in restaurant-level profit margin, which fell 10 basis points to 25.1% . The dip was attributed to higher food costs, particularly related to the launch of grilled steak .  Shares in Meta (META) were trading lower ahead of the US market open on Friday following reports that the company has delayed the launch of a major update to its flagship AI model . The delay comes despite Meta promoting upgrades to two smaller Llama models during its AI event in late April .  Mark Zuckerberg has told investors that Meta (META) plans to spend around $68bn on capital expenditures in 2025 . The delay adds to investor concerns about the effectiveness and return on those hefty investments .  Landsec reported a pre-tax profit of £393m for the year to the end of March . The company shrugged off any impact of US tariffs on business investment . The total value of its property portfolio jumped to £10.88bn, from £9.96bn this time last year .",negative,"shares, market, coinbase, holdings, investors"
" Charter Communications Inc. (CHTR) is in advanced talks to combine with privately held Cox Communications . The companies are discussing a cash and stock transaction that would value Cox at more than $30 billion including debt . The Cox family would be the largest shareholder in the combined company .  Charter shares closed at $419.57 in New York on Thursday, giving the company a market value of roughly $66 billion . A deal would rank as one of the largest of the year .  Cable and phone companies have been engaged in an intense turf war, seeking to win over customers in areas that others have dominated . A combination of Charter and Cox would position them to better compete in that environment by allowing them to bundle offerings and more efficiently invest in infrastructure . For Cox, a tie-up with Charter would end more than 70 years of outright ownership by Cox .  The Cox family entered the cable business in the 1960s and has grown Cox Communications into the largest private broadband company in America, offering internet to almost 7 million customers . The company’s systems and regional footprint are expected to complement those of Charter .  CNN’s DeepSeek's ‘Tech Madman’ Founder is Threatening US Dominance in AI race . South Korea Emerges a Winner Why Obesity Drugs Are Getting Cheaper — and Also More Expensive .",neutral,"charter, cox, shareholder, broadband, companies"
" Microsoft (NASDAQ:MSFT) is the largest software vendor in the world with its Windows operating system, Office suite, and cloud computing services . Microsoft is one of the great brands not just in tech but all of business . The company's elite unit economics lead to robust profit margins that improve over time .  Microsoft is trading at $452.45 per share, or 31.9x forward price-to-earnings . Its dominant market position enables it to generate strong free cash flow, and it reinvests these funds into promising ventures that further strengthen its competitive moat .  Distribution Solutions (NASDAQ:DSGR) provides supply chain solutions and distributes industrial, safety, and maintenance products to various industries . Netflix’s stock price of $1,179 implies a valuation ratio of 36.3x forward EV/EBITDA .  Distribution Solutions trades at 16x forward P/E. Is now a good time to buy? See for yourself in our comprehensive research report, it’s free .  Find your next big winner with StockStory today for free . StockStory is a weekly feature on CNN iReport.com . Back to the page you came from .",positive,"microsoft, nasdaq, msft, stock, market"
" BMO Capital kept a $1,200 price target and an Outperform rating on Netflix, Inc. (NFLX) stock . The bank is bullish on the outlook of the company's advertising tier . NFLX intends to launch an ad tier in Europe, Middle East, Africa region next week .  NFLX shares have jumped 21% in the last month, while they have risen 13% in three months . NFLX is one of the most promising AI stocks in the world, trading at less than 5 times its earnings .",positive,"nflx, stock, stocks, shares, bmo"
" ""The Wall Street Journal"" is reporting that UnitedHealth is under criminal investigation by the DOJ for Medicare fraud . The company's stock is down 27.4% as of 12:29 p.m. ET . The collapse comes as theS&P 500 gained 4.7% and theNasdaq-100 gained 6.4%.  The DOJ is already investigating the company's Medicare unit in a civil case . Earlier in the week, CEO Andrew Witty said he would step down for ""personal reasons"" The company announced it was suspending its annual earnings forecast . The suspension follows an already lowered forecast and earnings miss revealed in April .  The Motley Fool's total average return is 967% — a market-crushing outperformance compared to171% for the S&P 500 . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $635,275!  UnitedHealth Group Group is a health care provider that has been on the wrong side of the road this year . The company is now a better place to invest in the U.S. stock market .",negative,"motley, unitedhealth, invested, earnings, stock"
" Netflix is a member of our Consumer Discretionary group, which includes 255 different companies . Netflix is currently sporting a Zacks Rank of #2 (Buy) Over the past 90 days, the Zacks Consensus Estimate for NFLX's full-year earnings has moved 3% higher .  NFLX has returned 32.2% so far this year . Meanwhile, stocks in the Consumer Discretionary group have gained about 5.1% on average . This means that Netflix is performing better than its sector in terms of year-to-date returns .  PIGEON CORP falls under the Consumer Products - Discretionary industry . Currently, this industry has 24 stocks and is ranked #155 . Since the beginning of the year, the industry has moved -8.9% .",positive,"netflix, stocks, pigeon, companies, nflx"
" Netflix, the pioneer that transformed how we consume content, has evolved into a global powerhouse with more than 300 million paid households . Paramount Global, born from the merger of ViacomCBS, combines traditional media assets with streaming ambitions through Paramount+.  Revenues grew 13% year over year to $10.5 billion, while operating income surged 27% to $3.3 billion . Netflix's international expansion is equally impressive, with significant investments in local content production across 50 countries . This global approach has paid dividends, as evidenced by its U.K. success .  Netflix generated $2.6 billion in free cash flow for the first quarter . Final season ofSquid Game, Netflix's most popular series ever, debuts on Jun. 27, 2025 . Management has also set ambitious but achievable targets, including doubling revenues by 2030 .  Paramount Global has been struggling to transform itself amid significant challenges . The company posted revenues of $7.2 billion in the first quarter of 2025, this represented a 6% decline year over year . Netflix's TV Media segment, which still accounts for the largest portion of revenues, saw a concerning 13% decrease .  Paramount+ faces subscriber growth challenges, with management warning about expected subscriber declines in the second quarter due to content seasonality . The company also faces monetization challenges with Pluto TV, its free ad-supported service, where increased supply in digital video has pressured advertising revenues .  Zacks Consensus Estimate for 2025 earnings is pegged at $1.32 per share, indicating a 14.29% decrease year over year . Netflix currently trades at a premium valuation compared to Paramount Global . Netflix's price-to-earnings ratio of 43.21x reflects investors' confidence in its sustainable growth model .  Netflix shares have shown strong momentum, trading near all-time highs and significantly outperforming both the broader market and entertainment sector . Paramount Global shares, meanwhile, have underperformed, weighed down by concerns about linear TV decline, streaming profitability challenges and transaction uncertainty .  Netflix has established itself as the safer and more promising investment bet . NFLX currently carries a Zacks Rank #2 (Buy), whereas PARA has a Zack Rank #5 (Strong Sell) NFLX's superior content strategy, successful advertising initiatives, and impressive cash flow generation create a compelling investment case .  Netflix, Inc. you can download 7 Best Stocks for the Next 30 Days . Paramount Global (Para) is one of the top performers in the stock market .",positive,"netflix, revenues, paramount, streaming, income"
