summary,sentiment,keywords
" At the end of this year, Warren Buffett will be stepping down as Berkshire Hathaway's CEO . Berkshire has come to have a larger exposure to technology trends and growth stocks in recent years . In the tech space, no trend is bigger or more important than artificial intelligence (AI) right now . With that, read on for a look at two stocks that account for roughly 22% .  Buffett's company sold more than 600 million shares of Apple stock last year . Berkshire Hathaway has been reducing its stock holdings and building up its cash position recently . The move likely reflects concerns that the market at large has become expensive .  Berkshire's move to reduce its position in Apple has meant that Buffett's company has reduced its stake in the company . The company also seems to be behind leading players including Microsoft,Alphabet, andMeta Platformsin some key respects . Apple has reportedly had significant trouble getting its next-gen, AI-powered Siri platform up to performance levels that developers were targeting .  Apple has still retained its status as Berkshire Hathaway's largest stock holding . Apple has yet to match the AI successes of some other top tech players . Amazon Web Services (AWS) is Amazon's cloud computing business .  Amazon is the largest cloud services business in the world, with 30% of the market . CEO Andy Jassy believes that very soon all apps will be built with a generative AI component .  AWS already pulls more than its own weight for Amazon . Sales increased 17% year over year in the first quarter, making it the second-fastest-growing segment behind advertising . Will Berkshire Hathaway buy more Amazon stock after Buffett steps down as CEO?  Stock Advisor’s total average return is792% — a market-crushing outperformance compared to171% for the S&P 500 . If you invested $1,000 at the time of our recommendation,you’d have $868,615!  The Motley Fool recommends Alibaba Group and recommends the following options: long January 2026 $395 calls on Microsoft and short January 20 26 $405 calls . Warren Buffett's $282 billion stock portfolio includes Meta Platforms, Microsoft, and Nvidia .",negative,"stocks, apple, berkshire, stock, aws"
" Palantir Technologies is one of the fastest-growing stocks in artificial intelligence . Its Artificial Intelligence Platform (AIP) brought eye-popping productivity gains to its customers . Investors took notice, as the stock is up by 420% over the last year . However, itsforward P/E ratio is 205 and it sells for 96 times sales .  The stock is rising faster than Palantir's underlying business has grown . Buying the stock up to this point has looked like a genius move . However, investors have seen this movie before . Cisco Systemsran to wildly excessive valuations during the dot-com bubble in the late 1990s .  Palantir is even more expensive today than Cisco at its peak . Any market downturn or misfire in the company's business could pop that valuation bubble .  Palantir is poised to deliver enormous growth over the next decade or more . The company offers a unique value proposition that appeals to almost every organization . $10,000 invested in the stock in 2008 would be worth about $800,000 today .  Palantir's revenue is already growing at a year-over-year rate of 39%, and profits are increasing, as is free cash flow . Will Healy: The company began in 2003 and utilizes AI and machine learning as a national security-focused tool .  In Q1, Palantir Technologies' revenue of $884 million rose 39% compared to year-ago levels . With that growth, its net income of $214 million surged 103% higher over the same period . However, triple-digit growth is not sustainable for even the best of companies, and the current valuation likely prices it for perfection .  Palantir Technologies wasn’t one of The Motley Fool’s top 10 stocks . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $669,517! Or when Nvidiamade this list in April 2005... If you invested  if you invested $1,00 in 2004, you'd have $868,615! Now, it's worth noting Stock Advisor’�s total average return is792% — a market-crushing outperformance compared to171%for the S  Palantir Technologies is one of the fastest-growing tech companies in the world . The company has been in the news for months after a massive run-up in recent months .",positive,"palantir, stock, stocks, market, invested"
" Amazon stock popped about 2.7% yesterday after word got out that the e-commerce giant is quietly building a humanoid park in San Francisco to experiment with AI-powered robots for deliveries . Instead of relying solely on its 750,000 warehouse bots, Amazon is now eyeing humanoid prototypessome coming from China's Unitreethat can literally hop out of a Rivian delivery van to drop packages at your doorstep .  CEO Andy Jassy hinted that pilot tests could roll out in select cities later this year . Amazon could cut costs, boost delivery speeds and create a new benchmark in last-mile logistics .",neutral,"warehouse, amazon, deliveries, logistics, robots"
" UPS shares are down 24% over the past six months, boosting the dividend yield to record highs . The company is focusing on higher-margin business and trimming low-profit contracts, especially with leading client Amazon . UPS is taking smart steps to position itself for the next economic upswing .  UPS thrives on high consumer confidence and healthy global trade trends . UPS has $5.1 billion in cash reserves and a rock-solid credit rating . Even in a painful downswing, UPS remains a very profitable business .  UPS plans to boost its profitability over the next year by taking on a smaller number of low-margin shipments . The long-standing partnership withAmazon is the main target for this cost-cutting effort . Amazon shipments under the contract will halve by the summer of 2026 .  UPS stock is cheap right now for short-sighted reasons . The company should thrive in the long run, equipped with a world-class shipment system and a proactive management team . By focusing on more profitable services, UPS could get back to generous dividend increases in 2026 .  The Motley Fool's total average return is792% — a market-crushing outperformance compared to171% for the S&P 500 . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $669,517!  The Motley Fool recommends Amazon and United Parcel Service . Amazon is one of the best dividend stocks in the S&P 500 history .",negative,"ups, dividend, stock, outperformance, profitability"
" Growth stocks faced significant volatility so far in 2025, but many outperformed last month . With more downside from factors like tariffs priced into many growth stocks now compared to the beginning of the year . Still, investors should remain mindful to be sure they're getting good value for the price they're paying .  Marvell Technology is a chip designer that's been a big beneficiary of the growth in artificial intelligence spending . Marvell's stock has been beaten down over concerns about hyperscalers working with other chip makers .  Marvell also makes networking chips, and it holds a particular advantage in optical modules that transfer data using light . The company secured deals wth both Amazon and Microsoft to design their next-generation AI accelerators during the company's first-quarter earnings call .  Cash App disappointed investors recently due to a shortfall in Cash App's gross profit growth in the first quarter . But the recent sell-off could be a great opportunity for growth investors . Cash App aims to increase revenue per user through growing spend on the Cash Card .  Cash App users may be the first to cut back on spending in an economic slowdown . The Square side of the business remains a leader in onboarding small businesses . Block's current share price of around $63 is just 16.5 times analysts' estimates for 2026 earnings .  DraftKings is one of the largest sports betting companies in North America . The company leveraged its brand in Daily Fantasy Sports to rapidly expand into sports betting after a Supreme Court ruling legalized it in 2018 . That brand strength gives it a significant advantage in the sports betting market .  DraftKings can shift its marketing focus to friendlier states where it can generate better profit margins . Illinois recently passed a new tax law requiring sportsbooks to pay $0.25 per bet for the first 20 million bets . DraftKings may be better positioned to absorb taxes like that than smaller sportsbooks .  The Motley Fool's total average return is792% — a market-crushing outperformance compared to171% for the S&P 500 . That makes the current price a great value for growth investors . Don’t miss out on the latest top 10 list, available when you joinStock Advisor .  Randi Zuckerberg is a former Facebook spokeswoman and sister to Meta Platforms CEO Mark Zuckerberg . John Mackey, former CEO of Whole Foods Market, is a member of The Motley Fool's board of directors .",negative,"marvell, growth, microsoft, cash, stocks"
" C3.ai went public four and a half years ago to some enthusiasm, but it now trades nearly 40% below its IPO price . The enterprise AI software maker initially impressed investors with its catchy ticker symbol . Unfortunately, its growth cooled off, its losses racked up, and its customer concentration issues became more apparent .  Analysts' consensus expectation is for C3.ai's revenue to grow at a compound annual rate of 19% from fiscal 2025 to fiscal 2027 . It also doesn't expect to turn profitable anytime soon as it ramps up its spending on new AI services .  Applied Digital builds big data centers and rents them out to cloud and AI companies likeMicrosoftandAmazon.com . It has been a major beneficiary of the AI boom and has been transitioning into a real estate investment trust (REIT) The company recently announced that it was going to sell that business and streamline its operations .  Applied Digital currently trades at 13.5 times its projected sales for fiscal 2025 -- pricier than C3.ai -- and has a market cap of $3 billion . Analysts expect its revenue to grow at a compound annual rate of 48% and see it narrowing its net losses . But those estimates don't account for the planned sale of its cloud computing segment .  DigitalOcean now trades about 40% below its IPO price . It's firmly profitable and its growth trajectory looks more predictable than C3.ai's . Analysts expect its revenue and EPS to grow at compound annual rates of 14% and 12% .  C3.ai isn't one of The Motley Fool's top 10 best stocks for investors to buy now . It trades at a more generous 5 times its forward sales, its market cap could more than double to $6.6 billion by the final year . It could also be a tempting takeover target for a bigger cloud infrastructure company .  C3.ai is one of the 10 stocks that will be worth more than Microsoft . The Motley Fool has invested in Amazon, DigitalOcean, and Microsoft . Click here to read more of the top 10 stocks you can invest in .",positive,"ai, investment, enterprise, invest, market"
" MercadoLibre shares have surged 50% since January . The Latin American e-commerce giant has returned nearly 9,000% since 2007 . The stock's recent surge has raised the price, but it may not be too hot to touch yet .  MercadoLibre is a leading e-commerce company in Latin America, much like Amazon is in the U.S. The company's annual revenue has grown over sevenfold since 2020, and continues to grow at a nearly 37% pace .  MercadoLibre had 66.6 million unique active buyers in Q1 2025, representing a 25% year-over-year increase . The company's fintech business had 64.3 million active users, a 31% jump from the previous year . Emerging markets don't have nearly the economic firepower of the United States .  MercadoLibre reports its financials in U.S. dollars, creating a significant drag due to currency exchange fluctuations . In Q1 2025, the company grew its total net revenue by 64% year over year on a currency-neutral basis, but reported just 37% growth due to the stronger U .S. dollar . The company still appears to have plenty of room to expand in Latin America .  MercadoLibre's torrid run since January has elevated its price-to-earnings (P/E) ratio from 45 to 63 . The stock isn't a bargain following its recent run, but it's certainly not too late to buy and hold this winner .  Now is the best time to buy MercadoLibre stock before it’s too late . Right now, we’re issuing “Double Down” alerts for three incredible companies . There may not be another chance like this anytime soon .",positive,"mercadolibre, fintech, commerce, markets, financials"
" Meta Platforms Inc (META). is in talks to make a multibillion-dollar investment into artificial intelligence startup Scale AI . The financing could exceed $10 billion in value, some of the people said . Terms of the deal are not finalized and could still change, according to the people .  OpenAI provides data labeling services to help companies train machine-learning models . The startup was last valued at about $14 billion in 2024 . This would be Meta’s biggest ever external AI investment .  Meta’s AI chatbot Llama is already available on Facebook, Instagram and WhatsApp . Mark Zuckerberg said in January that he would spend as much as $65 billion on related projects this year . Scale, co-founded in 2016 by CEO Alexandr Wang, generated revenue of $870 million last year .  Meta has granted approval for US government agencies and defense contractors to use its AI models . The company is already partnering with Scale on a program called Defense Llama . Scale has increasingly been working with the US government to develop AI for defense purposes .  Bloomberg L.P. Imperil the World’s Largest HIV Treatment Program . Imperilment the world’�s largest HIV treatment program .",neutral,"ai, billion, openai, investment, agencies"
" Walmart.com’s high-margin ad revenue is growing at a brisk pace but has only scratched the surface of its potential . The brick-and-mortar retailing giant is also more of an e-commerce player than you might think . With that as the backdrop, there's not much unpredictability with its business .  The Walmart of yesteryear -- and even the Walmart of today -- isn'tquitethe Walmart you can expect come 2028 . There are several initiatives underway right now that should be measurably more mature . One of these initiatives is its nascent online .  The retailer did $4.4 billion worth of this high-margin advertising business, up 27% year over year . Brands are paying Walmart to promote their particular goods online with these ads . eMarketer expects average annualized growth of 17.2% for the United States' entire retail media .  The mega-retailer isn't just looking to the U.S. as a growth engine, but there's opportunity abroad . Management announced its goal to grow its international revenue from around $100 billion per year to $200 billion annually by 2028 . Walmart may be underestimating just how well it's doing online .  Consensus numbers suggest Walmart's worldwide annual online sales have soared from around $25 billion in 2019 to roughly $100 million last year . Walmart's 10.6% share of the U.S. e-commerce market is a distant second to Amazon's 39.7% .  Analyst community is calling for full-year revenue of $766 billion for the 12-month stretch ending in 2027 . Extrapolating that annualized growth rate of 4% would put calendar 2028's top line in the ballpark of just under $800 billion . Per-share earnings should swell from last year's $2.41 to roughly $3.60 for the same time frame .  Walmart is doing a lot of things right, leveraging its strengths while creating new ones . Walmart stock could be priced around $144 three years from now . That's a 47% gain, or an average annualized improvement of roughly 15% . The Motley Fool Stock Advisoranalyst team just identified what they believe are the10 best stocksfor investors to buy now .  The Motley Fool’s total average return is792% — a market-crushing outperformance compared to173%for the S&P 500 . Don’t miss out on the latest top 10 list, available when you joinStock Advisor’�s top 10 . If you’d have $868,615!",neutral,"walmart, revenue, retailer, sales, growth"
" Meta Platforms Inc. is in talks to make a multibillion-dollar investment into artificial intelligence startup Scale AI . The financing could exceed $10 billion in value, some of the people said . Terms of the deal are not finalized and could still change, according to the people .  Scale was last valued at about $14 billion in 2024, in a funding round that included backing from Meta and Microsoft . This would be Meta’s biggest ever external AI investment, and a rare move for the company .  Meta’s AI chatbot Llama is already available on Facebook, Instagram and WhatsApp . Scale, co-founded in 2016 by CEO Alexandr Wang, generated revenue of $870 million last year . Scale and Meta share an interest in defense tech .  Meta has granted approval for US government agencies and defense contractors to use its AI models . The company is already partnering with Scale on a program called Defense Llama . Scale has increasingly been working with the US government to develop AI for defense purposes .",neutral,"ai, funding, billion, microsoft, scale"
