summary,sentiment,keywords
" Instagram’s now testing out Reels trending ads, which will enable brands to display their promotions alongside trending Reels content . The ads will provide high-value placement in popular content on any given day .  Trending content is also the focus of Meta’s latest update to its Creator Marketplace hub, which is getting its own trends display in-stream . You’ll be able to sort the listing by region, topic, and in 24-hour or 7-day timeframes .  Meta’s also expanding its AI-powered creator content recommendations to Facebook . Partnership Ads will enable brands to display their brand handle or not on Partnership promotions . Creator Marketplace API will eventually provide expanded opportunities for businesses to discover and connect with creators .  Meta’s also testing Facebook Live Partnership ads, with an option to boost user-generated content . The company is testing video ads for Threads, following on from its recent launch of Threads ads for all businesses .  Threads video ads will autoplay when displayed in-stream, and expand when clicked . Meta recently announced that Threads is now up to350 million monthly active users . The company is rolling out AI-powered video expansion on Facebook Reels .  A heap of new Facebook, IG, and Threads options to consider . You can read more about Meta’s NewFronts announcements here .",neutral,"ads, instagram, facebook, creators, trending"
" In 2019, Meta announced a new cryptocurrency that could be used across Facebook, WhatsApp, and a host of other digital platforms . The company pulled the plug on its plans in the face of withering opposition from Congress and other lawmakers . Now, the company is in discussions with crypto firms to introduce stablecoins .  Meta’s interest in the technology reflects the growing interest in stablecoins among non-crypto companies . In January, Ginger Baker started at Meta as VP of product and specializes in fintech and payments .  Meta reached out to crypto infrastructure companies earlier this year, according to three people familiar with the matter . The discussions remain at a preliminary stage, but they focus on a key feature offered by stablecoins compared with fiat currency .  Two other crypto executives also toldFortunethey have held early discussions with Meta focused on the payouts use case . Circle hired Matt Cavin in March from the gaming blockchain company Immutable .  A number of Libra employees went on to start their own crypto companies . Mark Zuckerberg acknowledged Diem’s failure in an onstage discussion with Stripe cofounder John Collison .  ""I think we’re pretty good at that, too. game, which I think we're pretty good with that,"" he says .",neutral,"crypto, cryptocurrency, fintech, stablecoins, meta"
" Instagram Threads will begin testing video ads, Meta announced on Thursday . The test is an expansion of the app's advertising initiatives . The update follows Meta's announcement that Threads now has 350 million monthly active users .  Meta is testing a new short-form video solution, Reels trending ads . The company is also rolling out Video Expansion on Facebook Reels, which adjusts video assets by generating unseen pixels in each video frame to expand the aspect ratio .  Instagram is getting a lot of its own video ads . The company is hoping to use the platform to make more money from users . It's not the first time the company has used a video ad .",neutral,"instagram, ads, ad, video, threads"
" Apple Inc.’s silicon design group is working on new chips that will serve as the brains for future devices . The silicon team has become a critical piece of Apple's product development engine in recent years . Apple has made progress on the chip that it's developing for smart glasses, people with knowledge of the matter say .  The glasses processor is based on chips used in the Apple Watch that require less energy than the components in products like the iPhone, iPad and Mac . The chip has been customized to remove some parts in order to further improve power efficiency . The processor is also being designed to control the multiple cameras that are planned for the glasses .  Apple is working on smart glasses under the code name N401, a recent shift from the prior internal nomenclature of N50 . The social networking giant is rolling out a premium model with a display later this year . But Meta is moving aggressively itself and plans its first true AR glasses .  Apple has been working on adding cameras to its AirPods and smartwatches . The company is aiming to have those chips ready by around 2027 . Apple is also working on developing a chip called Nevis for the camera-equipped Apple Watch and a component named Glennie for the similarly outfitted .  Apple is working on several new Mac chips, including processors that will likely be known as the M6 (Komodo) and M7 (Borneo) There’s also another, more advanced Mac chip in development dubbed Sotra . The company is planning to bring the M5 processor to the iPad Pro and MacBook Pro as early as this year .  The semiconductors would make Apple’s AI services faster and more powerful, potentially helping it catch up in an area where it has struggled . Apple is also in charge of underlying components for a sensor and chip system that can noninvasively measure glucose levels .  Pre-Tariff car Buying Frenzy leaves Americans with a big debt problem . Wheelbarrows Promoted by Trump are now made in China .",neutral,"smartwatches, glasses, apple, devices, camera"
" Fidji Simo, 39, will take on many of the operational duties currently held by CEO Sam Altman . She will report to Altman, allowing him to focus on broader strategy, he announced on Wednesday .  The company has also significantly expanded its C-suite and executive ranks . Altman had shifted his focus to research and products while Chief Operating Officer Brad Lightcap took over more responsibilities . Simo will oversee several executives who previously reported to Altman .  Simo will depart her role as CEO of Maplebear Inc., the operator of Instacart, in the coming months . She’s led the grocery delivery company for four years, following a decade at Meta Platforms Inc. Simo joined the board in early 2024 as part of a slate of new directors .  Simo is taking on the new executive role as OpenAI continues to race to commercialize its AI software . Earlier this year, OpenAI finalized a deal to raise $40 billion in a funding round led by SoftBank .  Altman and OpenAI may also need to explain its revised org chart . Altman said the company wanted “something that works for investors, or at least works well enough for investors that they're happy to continue to fund us to the degree we think we will need”",neutral,"ceo, executives, investors, executive, simo"
" AI and advertising are dodging the impact of President Trump’s tariffs, while consumer-focused companies like Apple take the hit . Google parent Alphabet (GOOG,GOOGL), Amazon (AMZN), Meta (META), and Microsoft all scored solid results .  Apple warned that it will take a $900 million charge in its current quarter . CEO Tim Cook also noted the outlook for the June quarter remains murky . It's a sign that Big Tech's cloud and AI giants are navigating the current economic environment with relative ease .  Alphabet’s advertising revenue topped expectations in Q1 . Analysts weren’t concerned, as the company, like its rivals, is contending with more AI demand than it can handle .  The de minimis exemption exempted shipments of $800 or less coming into the US from tariffs . Amazon CEO Andy Jassy said it's difficult to tell where tariffs will go from here .  Meta will not be immune should there be a macro slowdown, analyst Ralph Schackart wrote . Apple also has to worry about the Trump administration’s Section 232 investigation into potential semiconductor tariffs .  How Cook ultimately decides to handle the ongoing tariff situation will have a major impact on the company going forward . While his contemporaries are contending with their own tariff troubles, the stakes are far higher for Apple .",negative,"tariffs, tariff, apple, revenue, companies"
" Jeff Bezos' Blue Origin rocket company scored a $2.4 billion contract from the US Space Force to loft military satellites into space . The award was a coup for Bezos and showed it was finally playing in the same league as Elon Musk's SpaceX . Musk, his longtime rival, has the ear of President Donald Trump .  The Trump administration’s proposed budget would cut NASA funding by 24% and potentially kill a moon mission Blue Origin is building a lander for . SpaceX is also looking to influence the regulator governing Amazon.com's Project Kuiper satellite internet service . “Elon has both feet inside the door and is calling the shots,” says Bill Goodman, the chief executive officer of .  Bezos has adopted a lower profile even as tech executives like Mark Zuckerberg have continued to visit the White House and lobby Trump directly . Amazon donated $1 million to Trump’s inauguration, where Bezos mingled with the chiefs of Meta Platforms Inc. and Alphabet .  As recently as last spring, Bezos was doing little to ingratiate himself with Trump . Some associates are betting disagreements with the administration over trade and immigration will eventually break up the bromance .  Musk has funneled hundreds of millions of dollars into the Trump campaign . The billionaire owns X, the social media platform he owns, to enthusiastically endorse Trump for a second term . Bezos arranged a call with Trump to recommend Doug Burgum as a vice presidential candidate .  Bezos has been a space nerd since boyhood . He founded Blue Origin in 2000, with a goal of lowering the cost of space exploration by creating reusable rockets . Musk had similar aspirations when he founded SpaceX about two years later .  Bezos devotes as much as 10 hours a day to meetings at Blue Origin . He's rarely sighted at Seattle headquarters these days, and prefers to keep in touch with executives by phone . Bezos has sought to impose discipline on the company and build a credible rival to SpaceX .  Blue Origin has filed at least two protests seeking to overturn federal contracts with SpaceX . In the last 11 years, SpaceX has won as much as $25 billion in US government contracts to Blue Origin’s roughly $6 billion .  Blue Origin is determined to demonstrate its bona fides with the Artemis program, NASA’s planned mission to return people to the Moon . But Musk has long seen Mars as a worthier goal and has routinely showed up at Trump events wearing an “Occupy Mars” t-shirt .  Isaacman pledged not to abandon the agency’s multibillion-dollar Moon push and send astronauts to Mars instead . He said he hadn’t been in contact with Musk about his plans to manage the agency . The administration's proposed budget would add $1 billion for Mars .  Amazon is struggling to build satellites quickly enough to meet the deadline . The company will probably have to seek an extension from the Federal Communications Commission . SpaceX suggested that the agency stop granting extensions for satellite operators .  Bezos will have to carefully tend his relationship with Trump . Goodman recommends that he look for opportunities where Blue Origin can work with SpaceX and show Trump and Musk that his main goal is to help advance space exploration .  U.S. border towns are being Ravaged by Canada’s Furious Boycott Pre-Tariff Car Buying Frenzy leaves Americans with a big debt problem . Wheelbarrows Promoted by Trump are now Made in China .",negative,"bezos, billionaire, musk, spacex, trump"
" Concerns about a slowdown in AI hardware spending may be overblown, and that bodes well for Nvidia stock . The chipmaker's customers are set to spend heavily on AI infrastructure going forward, as is evident from Meta Platforms' latest update .  Meta Platforms, which is among Nvidia's major customers, recently released its quarterly results . The social media giant blew past consensus estimates as its AI-focused spending helped it win a bigger share of advertisers' wallets . CEO Mark Zuckerberg believes the increased productivity from AI will make advertising a larger share of global GDP .  Meta estimates its generative AI revenue could land between $460 billion and $1.4 trillion in 2035 . That would mark a massive jump over the $2 billion to $3 billion in revenue the company is expecting from this technology in 2025 .  Meta's average price per ad increased 10% year over year, outpacing the 6% growth it recorded in the year-ago period . Meta seems willing to spend more money to buy Nvidia chips even if they become more expensive due to new tariffs .  Nvidia appears to have all of the ingredients it needs to deliver another solid quarter of results on May 28 . Nvidia's foundry partnerTaiwan Semiconductor Manufacturing indicated that the demand for AI chips is set to remain solid in 2025, with revenue from this category expected to double .  Nvidia trades at an attractive 26 times forward earnings estimates . Apple, Netflix and Nvidia are among the companies that are about to pop . If you invested $1,000 when we doubled down in 2009, you’d have $294,438!  Randi Zuckerberg, a former director of market development and spokeswoman for Facebook and sister to Meta Platforms CEO Mark Zuckerberg, is a member of The Motley Fool’s board of directors .",positive,"gdp, nvidia, trillion, estimates, revenue"
" The S&P 500 delivered a return of 25% (including dividends) last year, but had you invested in the VOOG instead, you would have earned a much higher return of 35.9% . The Vanguard ETF is down slightly more than the S.P 500 this year but I predict it will recover and beat the index again in 2025 . Last year's result wasn't a one-off because the Vanguard ETF has outperformed the index every year .  Nvidia is the largest holding in the Vanguard S&P 500 Growth ETF . Nvidia grew its revenue by 114% during its last fiscal year, and its stock more than doubled in both 2023 and 2024 .  Microsoft, Alphabet, and Amazon just reported their financial results for the first quarter of 2025 . Each company exceeded Wall Street's expectations at the top and bottom line . Their cloud computing segments continued to deliver rapid growth, led by soaring demand for artificial intelligence (AI) services .  The Vanguard S&P 500 Growth ETF has delivered a compound annual return of 15.4% since it was established in 2010 . The high-growth segments of the stock market were trading at elevated valuations heading into President Trump's ""Liberation Day"" tariff announcements .  President Trump has already paused the more aggressive ""reciprocal tariffs"" he imposed on America's trading partners . Many of the products sold by the top holdings in the Vanguard ETF aren't affected by tariffs . Semiconductors are exempt, for example, much to the benefit of companies like Nvidia andBroadcom .  Tech giants are likely to hold up better than the rest of the market because of the composition of their product portfolios, their enormous scale, and their strong balance sheets . As a result, I think there is a very high chance the Vanguard S&P 500 Growth ETF recovers to beat the S.P 500 yet again in 2025 .  Stock Advisor’s total average return is893% — a market-crushing outperformance compared to162% for the S&P 500 . If you invested $1,000 at the time of our recommendation,you’d have $695,897!  The Magnificent Vanguard Index Fund will beat the S&P 500 again in 2025, says The Motley Fool . Amazon, Apple, Berkshire Hathaway, Costco Wholesale, JPMorgan Chase, Meta Platforms, Netflix, Nvidia, Tesla, Visa, and Walmart .",negative,"vanguard, etf, stock, dividends, growth"
" Amazon is trading at one of its lowest-ever valuations . Alphabet is trading in the bargain bin despite a collection of leading and emerging businesses . AI has been powering Meta Platforms' revenue growth .  Amazon's operating income forecast came up short of analyst expectations . The company was willing to eat some price with tariffs instead of passing the costs along to its customers . Eventually, the tariffs will go away or become the new normal, and consumers will adjust . Amazon's largest business by profitability is its cloud computing unit, Amazon Web Services .  Google Cloud business has been its fastest-growing segment, with revenue climbing 28% year over year last quarter . The business is currently capacity-constrained, and Alphabet is investing $75 billion in capital expenditures to help build out more data center capacity .  While investors have been worried about the impact of AI on search, Google search revenue continues to perform well . Meanwhile, the company continues to increase and improve its AI Overviews, which it says it is monetizing at a similar rate to search .  Meta is the second-largest digital advertiser in the world . The company is using AI to help increase user engagement on its platform . Last quarter, it saw a 6% year-over-year increase in the number of daily active users .  Meta stock is attractively valued, trading at a forward P/E of just 23.5 times this year's analyst estimates . Threads.com has more than 340 million monthly active users and plans to introduce advertising .  John Mackey, former CEO of Whole Foods Market, is a member of The Motley Fool's board of directors . Randi Zuckerberg is a former director of market development and spokeswoman for Facebook .",negative,"amazon, revenue, cloud, profitability, market"
