summary,sentiment,keywords
" Elon Musk and President Trump broke up last week in a series of social media posts that featured insults and threats hurled by both men . Musk was among several big names from Silicon Valley awarded prime seats for the president’s inauguration .  The president has threatened Apple with 25% duties on overseas-made iPhones and criticized the iPhone maker's ramped-up production in India . Amazon still faces a lawsuit from Trump's Federal Trade Commission that is due to start in February 2027 .  Trump has parted ways with traditional Republican-style enforcement, legal experts say . ""This isn't the Bush administration,"" FTC chair Andrew Fergusontold said in a speech to CEOs .  The president rescinded Biden's executive order on AI safety and directed federal agencies to remove regulatory obstacles to US global AI dominance . One tech giant that does have an early win from Trump is Microsoft . The FTC voluntarily dropped a lawsuit against Microsoft's $69 billion acquisition of video game maker Activision Blizzard .  The probe was first launched by Khan, a key architect of a new movement seeking to expand the legal theories that can give rise to antitrust claims . The probe also involved a DOJ investigation into chipmaker Nvidia's competitive conduct .  ""I'd have no problem with it,"" Trump said at a White House event on Monday when asked if he would be willing to speak with Musk . The Tesla CEO has also conceded that heregrets some of his social media postsabout Trump, saying on Wednesday that they ""went too far""",negative,"musk, lawsuit, apple, antitrust, ceo"
" Intel stock fell Wednesday as investors reacted to competitive threats . Rumored leaks suggest that new chips from Nvidia could rival the performance of Intel . Another report suggests that AMD is continuing to win market share from Intel in the server CPU market .  Report: AMD has continued to increase its market share in server CPU space . AMD managed to capture 40% of the CPU market for servers in this year's first quarter . It's poised to match Intel in market share sometime next year . Intel's path forward looks complicated .  Intel stock could surge if there are signs that its turnaround strategy is yielding results . It remains to be seen whether its next-gen semiconductor fabrication platform will actually attract substantial interest from third parties seeking manufacturing services for their AI chip designs .  Market-crushing outperformance compared to174%for the S&P 500 . Don't miss out on the latest top 10 list, available when you joinStock Advisor .",positive,"intel, amd, stock, joinstock, cpu"
" Bank of America reiterated the stock as “Buy,” stating that data center demand trends remain robust for Nvidia . Nvidia Corporation and Hewlett-Packard Enterprise said on Tuesday that they are partnering with the Leibniz Supercomputing Centre to build a new supercomputer using Nvidia’s next-generation chips .  10 Trending AI Stocks on Wall Street Right Now. Disclosure: None of these stocks have been publicly released by the author of this article . We are happy to make clear that all of these are AI-related.",neutral,"stocks, nvidia, stock, supercomputer, supercomputing"
" CoreWeave is set to provide computing capacity to Google (NASDAQ:GOOGL) Cloud as part of Google’s newly formed partnership with OpenAI . Google will also provide some of its own computing resources to OpenAI, according to a Reuters report .",neutral,"cloud, coreweave, google, googl, openai"
" Rigetti Computing stock is roaring higher in Wednesday's trading thanks to multiple positive catalysts . The quantum computing specialist's share price was up 10.9% as of 3:30 p.m. ET . Nvidia CEO Jensen Huang suggested a promising near-term outlook for quantum computing technologies . Huang believes that quantum computing is reaching an inflection point .  Core CPI inflation ticked up just 0.1% compared to April's figure . Core CPI rose at a 2.8% annual rate last month . Rigetti Computing CEO Huang said quantum computing is reaching an inflection point .  The Motley Fool's total average return is996% — a market-crushing outperformance compared to174% for the S&P 500 . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $649,102!  Rigetti Computing Stock is Skyrocketing today . Rigetti is one of the top 10 companies in the world . The company has more than 30,000 employees .",positive,"stock, inflation, invested, rigetti, market"
" NVIDIA Corporation (NASDAQ:NVDA) is one of the11 stocks on Jim Cramer’s radar . NVIDIA provides advanced graphics, computing, and networking solutions . The company also provides customized technologies and cloud services . We believe certain AI stocks offer greater upside potential and carry less downside risk .  Stocks That Could Double Your Money could double your money in the next 10 years . Stocks that could double their money are worth $1.5 billion .",neutral,"nvda, nvidia, nasdaq, stocks, cramer"
" The cloud will handle every step of production, from design and engineering simulation to factory digital twins and autonomous robotics . BMW Group, Maserati, Mercedes-Benz and Schaeffler have already signed on .  Nvidia is sitting comfortably, with analysts projecting a 12-month price target of $174.71 nearly 22% higher than current levels . The spread is wide, with bullish forecasts reaching up to $372.90 and more cautious estimates around $100 .",positive,"nvidia, price, cloud, forecasts, bmw"
" The Dan Ives Wedbush AI Revolution ETF IVES seeks to capitalize on the explosive growth of AI by investing in 30 companies poised to lead the transformation . Microsoft MSFT is currently the top holding, followed by NVIDIA NVDA, Broadcom AVGO, and Tesla TSLA .  Microsoft emerged as one of the biggest winners from the recent earnings season after posting strong results . Tesla shares have rebounded after plunging last week following a public spat between Elon Musk and Donald Trump . NVIDIA—the poster child of the AI revolution—rebounded strongly from its recent DeepSeek and tariff-driven sell-off .  Apple Inc. (AAPL) and Microsoft Corporation (MSFT) are among the 7 best stocks in the world . Watch for the next edition of the podcast to hear what you think about ETFs .",positive,"stocks, etfs, microsoft, etf, investing"
" Taiwan Semiconductor reported May revenue of NT$320.52 billion (about $10.70 billion) up 39.6% from a year earlier but down 8% from April’s figure . Despite the sequential dip, May still marked TSMC's second-highest monthly revenue on record, behind only April 2025 .  Nvidia was among the tech stocks hit hard in early April as tariff tensions flared . The company took a $4.5 billion charge in the fiscal first quarter ended April 27 . The stock later rebounded after the U.S. and China agreed to slash tariff rates on each other temporarily .  Nvidia missed analysts’ projections of $45 billion, missing $45.9 billion . The company noted that the figure would have been roughly $8 billion higher without the China export curbs . Investors are now focused on the second round of U.S.-China trade talks, which is taking place in London .  The market is in a holding pattern as investors await more details on U.S.-China trade talks and inflation data . Versace's average gain on Nvidia stock is 64.6% of his portfolio portfolio .  The report, due Wednesday, might cause some market volatility as investors reassess expectations for Fed rate cuts . The report is due Wednesday and could lead to market volatility .",negative,"nvidia, tariff, stocks, stock, taiwan"
" Intel stock plunged 70% post chip foundry venture, yet Lip-Bu Tan’s appointment as new CEO and recent 10% stock rise hint at a potential turnaround . Both Intel and NVIDIA produce graphics processing units (GPUs) that are essential for modern computing, including machine learning and artificial intelligence (AI)  Intel generated revenues of $12.7 billion in the first quarter of 2025, outpacing AMD's $7.4 billion . In the last two years, Intel has spent over $50 billion on upgrading its chip-manufacturing facilities . The ongoing trade tensions between the United States and China could disrupt their business .  Lip-Bu Tan's appointment as the CEO of Intel has been well-received by market pundits . Tan’s initiatives to streamline operations, deliver a competitive AI platform, and spin-off assets would restore stability at Intel .  General industries have a margin of 49.5%, suggesting financial instability due to expenses surpassing revenues . New entrants, for now, should wait for improved financials before considering INTC stock . Intel has a Zacks Rank #3 (Hold)",positive,"intel, amd, stock, industries, ai"
" Nvidia CEO Jensen Huang projected Europe’s artificial-intelligence computing capacity will increase by a factor of ten over the next two years . Huang: Europe has more than 20 so-called AI factories in the works . Several of massive data centers will have more than a gigawatt of capacity, potentially ranking them among the largest in the world .  Europe lags behind the US in developing the infrastructure for AI and hasn’t matched the spending committed by other regions . Huang estimates that a single AI factory in Europe could cost as much as $50 billion .  Nvidia is teaming up with Mistral AI to use local computing to run the startup's services . French President Emmanuel Macron cheered the tie-up between the two firms, asking French and European companies to use the new AI computing offering .  In Europe, Nvidia is working with 1.5 million developers and 9,600 businesses, as well as 7,000 startups . “I’m here to make it possible for every country to have their own sovereign AI. get the benefits from AI. AI starts with data,” Huang says .  The Germany-based project will feature 10,000 graphics processing units, as well as several of its systems and servers . The chipmaker is looking to reach a wider market by promoting the use of smaller-scale systems .  Nvidia said European countries need help to get AI models deployed that are based on local languages and data . It’s providing software and services that will accelerate those efforts . Separately, Nvidia said that vehicles using its chips and software are starting to appear on the road .",positive,"nvidia, ai, estimates, countries, companies"
" Quantum Computing stock is soaring in Wednesday's trading . The company's share price was up 30.9% as of 1:30 p.m. ET amid a pair of bullish catalysts . Nvidia CEO Jensen Huang recently stated that quantum computing technologies have arrived at an inflection point . Inflation was lower than expected last month, a promising sign for growth stocks .  Quantum Computing has been the day's biggest winner so far . Jensen Huang said quantum computing is ""approaching an inflection point"" Core CPI increased 2.8% year over year in May and 0.1% on sequential monthly basis .  Quantum Computing wasn’t one of The Motley Fool Stock Advisor’s best stocks for investors to buy now . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $649,102!  Stock Advisor’s total average return is996% — a market-crushing outperformance compared to174%for the S&P 500 . Don’t miss out on the latest top 10 list, available when you joinStock Advisor .",positive,"stocks, stock, joinstock, investors, invested"
" NVIDIA recently announced partnerships with European nations to boost AI infrastructure, and integration efforts with companies like Diraq and CrowdStrike . Over the last quarter, NVIDIA's share price increased by 24%, a move that aligns with broader tech sector gains .  NVIDIA's total return, including share price and dividends, has been very large over the past five years . The current share price, up 24% over the last quarter, remains under the consensus analyst price target of $172.02 .  NVIDIA's revenue and earnings forecasts of $158.2 billion by May 2028 would reflect confidence in its growth trajectory . However, potential challenges such as U.S. regulatory issues and China restrictions could weigh on profitability and diversification efforts .  Simply Wall St. analysis may not factor in the latest price-sensitive company announcements . Companies discussed in this article includeNasdaqGS:NVDA .",positive,"nvidia, companies, earnings, nvda, forecasts"
" Facility, described as an AI factory, will house 10,000 GPUs, including Nvidia DGX B200 systems and RTX PRO Servers . BMW Group, Maserati, Mercedes-Benz, Schaeffler will use Nvidia-powered applications to overhaul processes from concept design to logistics .  Nvidia CEO Jensen Huang said the move will support simulation-first, AI-driven manufacturing across Europe . Ansys, Cadence, and Siemens announced they are scaling their portfolios using Nvidia's AI-physics tools .",neutral,"gpus, nvidia, siemens, bmw, manufacturing"
" Nvidia could benefit if U.S. negotiators agree to lift the H20 GPU ban in upcoming China trade talks . Wedbush Securities: China race for AI leadership heats up . During April's earnings, Nvidia booked a $4.5 billion charge and lost $2 .5 billion in H20 revenue .  Wedbush contends that a calibrated rollbackpaired with strict end?use monitoring would serve both economic and geopolitical goals . The analysts believe that forthcoming discussions will prioritize easing H20 restrictions alongside broader semiconductor agreements, including rules on advanced chip manufacturing equipment and software .",negative,"nvidia, gpu, h20, negotiators, agreements"
