summary,sentiment,keywords
" Artificial intelligence is an area of enormous potential for companies and investors . After a few difficult months, AI stocks could resume their 2024 momentum and soar in the second half . Three in particular could lead the way .  Nvidia's revenue surged 69% to $44 billion in the first quarter of the year . The chip giant is making investments in U.S. manufacturing to limit any eventual tariff impact . Nvidia trades for only 33 times forward earnings estimates, down from 50 times just a few months ago .  Trump threatened to impose a 25% tariff on Apple's imported iPhones . Apple has made efforts to diversify its manufacturing, with a plan to move much of it from China to India . All of this has hurt Apple stock, which is down about 20% since the start of the year .  Amazon's performance has been sluggish in recent times amid concerns that tariffs could hurt its e-commerce business and cloud computing unit, Amazon Web Services . The worst-case tariff scenario has been avoided, and the U.S. is making progress on trade agreements . Amazon has revamped its cost structure in recent years after facing pressure from inflation .  Amazon shares trade for 34 times forward earnings estimates, a reasonable level that could prompt investors to buy . AWS has been seeing tremendous growth from its AI efforts, which have helped it reach a $117 billion annual revenue run rate .  The Motley Fool’s total average return is994% — a market-crushing outperformance compared to172% for the S&P 500 . Don’t miss out on the latest top 10 list, available when you joinStock Advisor .",negative,"tariffs, tariff, apple, stocks, amazon"
" Nvidia (NVDA) shares are keeping calm ahead of the AI darling’s shareholder meeting scheduled for June 25 . The chipmaker is unlikely to deliver fireworks at its upcoming annual event . There are three key things that investors will be watching on the coming Wednesday .  NVDA CEO Jensen Huang earned nearly $50 million in fiscal 2025 – up roughly 47% from the prior year, largely driven by stock rewards . Shareholders will vote to ratify PwC as Nvidia’s independent auditor on June 25 .  Wall Street remains bullish at large heading into NVDA’s annual shareholder meeting on June 25 . consensus rating on the company based out of Santa Clara, California remains at “Strong Buy” with the mean target of about $175 suggesting potential upside of more than 20% from here .",positive,"nvda, nvidia, shareholder, investors, shareholders"
" NVIDIA Corporation (NASDAQ:NVDA) is one of the best QQQ stocks to buy according to hedge funds . In FQ1 2026, NVIDIA reported strong financial results . Data Center revenue was particularly strong and reached $39.1 billion, which was up 73% year-over-year . NVIDIA forecasts revenue for FQ2 to be $45.0 billion, plus or minus 2% .  NVIDIA Corporation (NASDAQ:NVDA) is a computing infrastructure company that provides graphics and compute & networking solutions internationally . NVIDIA stands to benefit significantly from Trump-era tariffs and the onshoring trend, see our free report on the best short-term AI stock .",positive,"nasdaq, nvda, nvidia, stocks, stock"
" Bitcoin's long-held belief as a major volatile asset has been challenged amid the Iran-Israel conflict . On June 21, the United States carried out a strike on Iran, where it bombed three of its main nuclear facilities . Bitcoin's 60-day realized volatility had fallen to approximately 27% to 28%, according to Bitwise Europe's André Dragosch .  In February 2022, Bitcoin hit volatility levels of 60% to 65% during the onset of the Russia-Ukraine conflict, showing a stark difference from the current pattern . Analysts suggest that the difference is mainly attributed to long-term holders and institutional investors . Over 30% of Bitcoin's circulating supply is controlled by just 216 centralized entities .  U.S. aren’t safe in heated global tensions anymore, experts say . This story was originally reported by TheStreet on Jun 23, 2025, where it first appeared .",negative,"bitcoin, iran, volatility, russia, circulating"
" Nebius Group (NASDAQ:NBIS) is one of thebest technology stocks according to Wall Street analysts . Nebius announced the general availability of NVIDIA Corporation’s GB200 Grace Blackwell Superchip capacity for its customers in Europe . This marked a significant step in Nebius’ mission to build a comprehensive AI infrastructure globally .  Nebius Group (NASDAQ:NBIS) is a technology company that builds full-stack infrastructure to service the global AI industry . It is aimed at providing European innovators, such as startups, enterprises, developers, and researchers, with the necessary tools to build, scale, and deploy the next generation of AI applications .",positive,"nebius, nbis, nasdaq, nvidia, enterprises"
" Nvidia reportedly booked all server manufacturing capacity at Wistron's recently launched facility in Zhubei, Taiwan, to produce its next-generation Blackwell and Rubin AI systems . The orders, which extend through 2026, reflect Nvidia's aggressive push to secure critical AI infrastructure capacity .  AI server shipments have become a primary growth engine not only for Wistron but also for Quanta and Foxconn . Nvidia's control of the CoWoS supply chain and now server assembly capacity signals its strategic intent to dominate the AI hardware ecosystem .",positive,"nvidia, hardware, manufacturing, wistron, capacity"
" A groundbreaking UBS report projects the humanoid robot market will explode from 2 million units by 2035 to 300 million by 2050 . This technological revolution addresses critical labor shortages and aging populations worldwide . Tesla (TSLA) leads the charge with its Optimus humanoid robot, designed to revolutionize manufacturing and household applications .  Tesla plans to invest $10 billion in autonomous technology and produce 5,000 Optimus humanoid robots in 2025 . CEO Elon Musk has dramatically shifted the company’s focus from its original 2006 mission of transitioning the world to sustainable transportation . Tesla bulls view robotics as crucial for future growth .  Taiwan Semiconductor (TSM) emerges as a critical enabler, manufacturing the advanced chips that power robot brains . As humanoids require sophisticated processing capabilities, TSM’s cutting-edge semiconductor technology becomes indispensable . The average TSLA stock price target is $292, below the current price near $345 .  UBS projects humanoid robot demand will surge from 15,000 units in 2025 to 86 million by 2050 . This growth could expand the related semiconductor market from $21 million to $177 billion over the same period . TSMC benefits from Taiwan’s comprehensive technology ecosystem, including AI capabilities, precision manufacturing, and component expertise in sensors, microcontrollers, and cameras .  Nvidia (NVDA) provides the AI foundation through its powerful processors that enable robot learning and decision-making . UBS analysts estimate humanoid robots could generate $400 billion in additional automation revenue by 2050, with industrial applications leading adoption before expanding into service sectors and households .  NVIDIA Isaac GR00T is the world’s first open foundation model for humanoid robot reasoning . This platform includes specialized blueprints for data generation, dexterous manipulation (GR00T-Dexterity), mobility navigation, whole-body control, and AI-based perception with long-term memory capabilities .  This article was originally published on Barchart.com . The author does not have (either directly or indirectly) positions in any of the securities mentioned in this article .",neutral,"robot, tesla, robots, robotics, humanoid"
" The ""Magnificent Seven"" stocks have generated impressive returns for long-term investors . But after years of big gains, most of the Magnificent Seven stocks are losing their luster . Apple is still overwhelmingly dependent on the iPhone, Amazon faces stiff competition from cheaper cross-border competitors .  Meta and Nvidia face fewer near-term headwinds than the other five stocks . Meta generates nearly all of its revenue from ads, and growth could slow down as the global economy cools off . Nvidia isn't immune to economic downturns and recessions, but expansion of its AI chipmaking business could offset that pressure .  Nvidia once generated most of its revenue from its gaming GPUs . But in its latest quarter, 89% came from its data center GPUs . Data center GPUs are better suited for processing complex AI tasks than stand-alone CPUs .  Analysts expect Nvidia's revenue and earnings per share to grow at compound annual growth rates of 30% and 28% from fiscal 2025 to fiscal 2028 . Nvidia has comfortably beat Wall Street's top- and bottom-line expectations for nine consecutive quarters . Its stock still looks reasonably valued relative to those estimates at 36 times forward earnings .  Nvidia locks in customers with its proprietary Compute Unified Device Architecture (CUDA) programming platform . Developers write their AI applications on CUDA, they become optimized for Nvidia's GPUs and can only be executed on its chips . That stickiness widens its moat againstAMDand other challengers .  The Motley Fool’s total average return is994% — a market-crushing outperformance compared to172% for the S&P 500 . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $664,089!  Zuckerberg is a former director of market development and spokeswoman for Facebook and sister to Meta Platforms CEO Mark Zuckerberg . The Motley Fool recommends the following options: long January 2026 $395 calls on Microsoft .",negative,"nvidia, gpus, stocks, stock, apple"
" AMD (NASDAQ:AMD) unveiled a major advance in its AI hardware roadmap in mid-June . The company introduced the Instinct MI350 accelerator series and offered a preview of the MI400 lineup expected in 2026 . The MI350 is positioned as a fourfold improvement over its predecessor, with AMD claiming it offers substantially better compute performance per dollar .  AMD slipped roughly 2% following the announcement . Analysts pointed to investor fatigue around AI chip hype and the longer ramp time for meaningful revenue . The next leg will hinge on customer deployments and real-world benchmarks .  Short-term AI stock. thebest short-term . stock. in the world. the best short-time AI stock . The best and worst Dow Stocks for the next 12 months are Dow Jones and S&R .",negative,"amd, mi350, nasdaq, stocks, stock"
 Top U.S. official says DeepSeek has been quietly funneling Nvidia's coveted H100 chip to Chinathrough a web of Southeast Asian shell companies . Lawmakers are spooked by claims that American user data gets sent through China Mobile's networks .  article first appeared on GuruFocus.com . Read the full article in this edition of our weekly Newsquiz . Back to the page you came from .,neutral,"deepseek, chinathrough, china, nvidia, h100"
